z,x,y
104,59,72
727,51,141
743,82,161
353,95,171
501,107,43
235,115,155
317,49,163
691,84,133
186,74,82
647,80,88
667,109,155
481,90,169
250,83,61
547,90,100
386,97,93
256,67,79
153,73,119
727,76,130
660,83,70
401,101,171
292,61,84
96,88,140
633,88,60
192,108,153
87,54,155
351,110,184
566,90,68
766,62,59
581,94,174
228,88,97
591,80,114
151,106,88
75,76,85
183,74,155
763,48,142
287,117,82
614,108,77
441,105,136
543,96,97
339,103,40
751,86,101
317,72,90
581,72,62
228,91,74
487,101,60
693,65,140
643,89,73
134,123,136
206,39,44
761,66,161
687,61,84
106,59,167
701,78,71
526,73,177
152,76,93
722,78,98
739,89,132
490,93,139
559,99,178
197,93,118
151,85,75
395,105,161
641,79,135
196,53,141
348,108,164
534,93,160
396,90,137
594,84,52
137,94,92
60,67,147
60,108,86
344,94,163
218,105,140
506,69,149
526,74,73
436,101,166
300,75,67
625,78,129
657,84,151
732,81,123
643,91,76
585,93,165
447,115,52
270,90,69
203,86,71
369,64,95
504,82,170
744,73,90
675,97,157
789,82,116
192,84,96
584,100,41
491,82,44
759,65,110
234,57,154
78,84,80
502,75,157
655,90,156
539,81,125
778,84,131
687,55,138
191,91,148
699,78,121
522,68,127
213,63,169
116,70,145
572,80,144
431,78,147
405,62,170
668,69,79
550,94,142
118,86,140
116,83,84
73,63,134
64,113,84
113,76,75
614,85,66
720,90,138
345,79,100
294,72,90
349,104,63
610,79,82
671,81,95
224,70,88
709,99,75
420,98,59
619,84,93
497,103,167
728,83,98
475,75,159
643,99,143
500,74,86
389,111,168
765,83,83
306,93,84
541,83,72
553,70,135
107,64,122
380,94,70
533,104,180
510,98,35
262,78,136
183,110,170
277,91,87
610,91,87
618,93,78
116,45,70
698,62,64
502,105,70
723,100,153
107,53,136
490,87,94
464,103,162
718,71,142
642,72,70
569,92,86
601,83,195
409,92,120
248,93,77
434,91,186
714,81,104
568,105,181
248,68,143
776,110,77
157,69,141
532,96,161
226,76,97
264,61,146
106,61,154
614,73,98
142,84,144
411,81,94
566,103,24
515,84,102
470,105,70
424,92,171
656,77,69
280,65,140
509,88,115
14,68,86
652,113,59
257,118,137
67,39,66
236,70,148
482,78,129
705,101,140
216,89,149
157,60,143
424,116,150
627,90,160
368,100,69
63,65,70
129,74,132
488,117,181
403,105,174
98,121,139
69,99,121
784,95,128
482,100,58
176,84,145
291,66,82
604,74,142
355,89,184
788,98,78
283,68,70
613,97,133
724,97,135
696,72,146
455,94,143
659,99,168
646,68,93
509,101,162
327,89,85
721,99,136
780,80,155
219,75,91
788,74,142
606,104,65
286,81,128
493,97,87
597,88,142
142,51,66
318,105,132
432,102,153
452,112,53
142,60,114
221,123,145
779,75,91
662,90,56
482,83,148
356,94,69
260,78,129
268,82,77
467,65,79
150,80,66
491,36,66
170,81,80
466,89,44
