,z,x,y,population_key
187,438,96,40,V2a_Cord1
188,438,80,71,V2a_Cord1
189,438,78,58,V2a_Cord1
190,438,65,77,V2a_Cord1
191,438,63,73,V2a_Cord1
192,438,50,61,V2a_Cord1
193,440,118,47,V2a_Cord1
194,440,116,37,V2a_Cord1
195,440,112,37,V2a_Cord1
196,440,104,63,V2a_Cord1
197,440,107,50,V2a_Cord1
198,440,100,66,V2a_Cord1
199,440,99,65,V2a_Cord1
200,440,98,44,V2a_Cord1
201,440,94,38,V2a_Cord1
202,440,94,71,V2a_Cord1
203,440,92,49,V2a_Cord1
204,440,115,171,V2a_Cord1
205,440,91,73,V2a_Cord1
206,440,117,177,V2a_Cord1
207,440,118,186,V2a_Cord1
208,440,118,184,V2a_Cord1
209,440,91,50,V2a_Cord1
210,440,113,171,V2a_Cord1
211,440,88,46,V2a_Cord1
212,440,89,51,V2a_Cord1
213,440,89,75,V2a_Cord1
214,440,115,180,V2a_Cord1
215,440,111,168,V2a_Cord1
216,440,95,136,V2a_Cord1
217,440,83,81,V2a_Cord1
218,440,113,172,V2a_Cord1
219,440,82,83,V2a_Cord1
220,440,97,148,V2a_Cord1
221,440,80,83,V2a_Cord1
222,440,85,94,V2a_Cord1
223,440,100,154,V2a_Cord1
224,440,111,175,V2a_Cord1
225,440,109,168,V2a_Cord1
226,440,109,175,V2a_Cord1
227,440,87,102,V2a_Cord1
228,440,110,184,V2a_Cord1
229,440,98,155,V2a_Cord1
230,440,66,77,V2a_Cord1
231,440,87,146,V2a_Cord1
232,440,103,166,V2a_Cord1
233,440,73,88,V2a_Cord1
234,440,100,160,V2a_Cord1
235,440,100,163,V2a_Cord1
236,440,107,193,V2a_Cord1
237,440,76,93,V2a_Cord1
238,440,95,156,V2a_Cord1
239,440,76,94,V2a_Cord1
240,440,72,91,V2a_Cord1
241,440,78,144,V2a_Cord1
242,440,81,147,V2a_Cord1
243,440,102,181,V2a_Cord1
244,440,102,192,V2a_Cord1
245,442,117,46,V2a_Cord1
246,442,110,59,V2a_Cord1
247,442,100,92,V2a_Cord1
248,442,108,56,V2a_Cord1
249,442,116,169,V2a_Cord1
250,442,115,168,V2a_Cord1
251,442,104,46,V2a_Cord1
252,442,114,169,V2a_Cord1
253,442,98,142,V2a_Cord1
254,442,102,51,V2a_Cord1
255,442,99,62,V2a_Cord1
256,442,101,53,V2a_Cord1
257,442,88,82,V2a_Cord1
258,442,88,81,V2a_Cord1
259,442,114,178,V2a_Cord1
260,442,101,43,V2a_Cord1
261,442,87,83,V2a_Cord1
262,442,98,56,V2a_Cord1
263,442,99,50,V2a_Cord1
264,442,107,165,V2a_Cord1
265,442,84,84,V2a_Cord1
266,442,97,149,V2a_Cord1
267,442,96,58,V2a_Cord1
268,442,110,190,V2a_Cord1
269,442,95,33,V2a_Cord1
270,442,91,67,V2a_Cord1
271,442,88,144,V2a_Cord1
272,442,89,98,V2a_Cord1
273,442,91,101,V2a_Cord1
274,442,77,86,V2a_Cord1
275,442,88,150,V2a_Cord1
276,442,90,105,V2a_Cord1
277,442,78,77,V2a_Cord1
278,442,81,143,V2a_Cord1
279,442,83,148,V2a_Cord1
280,442,95,160,V2a_Cord1
281,442,83,93,V2a_Cord1
282,442,88,123,V2a_Cord1
283,442,73,86,V2a_Cord1
284,442,96,167,V2a_Cord1
285,442,100,188,V2a_Cord1
286,442,66,86,V2a_Cord1
287,442,72,76,V2a_Cord1
288,442,92,192,V2a_Cord1
289,442,67,149,V2a_Cord1
290,442,61,146,V2a_Cord1
291,442,62,87,V2a_Cord1
292,442,57,151,V2a_Cord1
293,444,112,136,V2a_Cord1
294,444,95,80,V2a_Cord1
295,444,84,97,V2a_Cord1
296,444,111,52,V2a_Cord1
297,444,112,50,V2a_Cord1
298,444,88,74,V2a_Cord1
299,444,113,40,V2a_Cord1
300,444,78,82,V2a_Cord1
