,z,x,y,population_key
164,465,91,68,V2b_Cord1
165,465,78,153,V2b_Cord1
166,465,79,188,V2b_Cord1
167,465,78,152,V2b_Cord1
168,465,79,145,V2b_Cord1
169,465,74,191,V2b_Cord1
170,465,112,50,V2b_Cord1
171,465,82,117,V2b_Cord1
172,465,81,114,V2b_Cord1
173,465,78,105,V2b_Cord1
174,465,78,116,V2b_Cord1
175,465,75,98,V2b_Cord1
176,465,72,87,V2b_Cord1
177,467,113,160,V2b_Cord1
178,467,118,168,V2b_Cord1
179,467,111,157,V2b_Cord1
180,467,103,142,V2b_Cord1
181,467,114,174,V2b_Cord1
182,467,100,151,V2b_Cord1
183,467,98,152,V2b_Cord1
184,467,95,145,V2b_Cord1
185,467,109,180,V2b_Cord1
186,467,92,152,V2b_Cord1
187,467,94,167,V2b_Cord1
188,467,88,142,V2b_Cord1
189,467,89,160,V2b_Cord1
190,467,95,125,V2b_Cord1
191,467,88,132,V2b_Cord1
192,467,82,139,V2b_Cord1
193,467,97,76,V2b_Cord1
194,467,117,55,V2b_Cord1
195,467,103,63,V2b_Cord1
196,467,91,82,V2b_Cord1
197,467,91,80,V2b_Cord1
198,467,99,64,V2b_Cord1
199,467,88,117,V2b_Cord1
200,467,90,87,V2b_Cord1
201,467,119,46,V2b_Cord1
202,467,114,49,V2b_Cord1
203,467,82,118,V2b_Cord1
204,467,97,60,V2b_Cord1
205,467,120,41,V2b_Cord1
206,467,77,122,V2b_Cord1
207,467,78,117,V2b_Cord1
208,467,83,108,V2b_Cord1
209,467,83,108,V2b_Cord1
210,467,109,38,V2b_Cord1
211,467,78,108,V2b_Cord1
212,467,77,106,V2b_Cord1
213,471,109,169,V2b_Cord1
214,471,109,171,V2b_Cord1
215,471,113,67,V2b_Cord1
216,471,105,72,V2b_Cord1
217,471,112,194,V2b_Cord1
218,471,109,185,V2b_Cord1
219,471,105,71,V2b_Cord1
220,471,109,193,V2b_Cord1
221,471,99,130,V2b_Cord1
