749,95,72
754,73,41
735,76,114
747,95,135
751,77,144
753,82,67
737,106,175
737,74,58
759,71,151
731,59,163
754,88,155
731,70,41
731,58,161
746,63,80
735,82,145
733,70,62
739,72,71
746,101,141
754,73,107
755,75,110
746,58,126
750,58,107
746,85,149
734,64,137
732,73,161
757,73,101
739,55,127
739,68,62
749,68,111
751,94,85
748,69,60
738,64,175
741,62,47
739,110,75
745,80,157
754,86,67
747,76,143
733,68,159
752,60,128
745,107,142
753,90,76
739,94,43
747,79,163
734,70,168
751,68,103
758,76,50
748,97,141
738,69,60
749,78,145
744,66,173
759,90,71
741,76,158
753,81,157
751,80,73
744,64,176
759,97,68
742,102,149
731,101,71
744,66,112
750,106,143
752,73,144
743,74,63
731,72,75
731,73,89
754,82,158
745,77,96
735,92,158
734,81,67
754,99,81
759,52,90
743,86,80
756,84,82
743,99,167
735,78,110
732,79,58
744,80,78
731,77,80
747,73,40
758,78,42
732,65,160
742,71,77
743,77,49
759,77,109
731,67,172
741,67,56
740,82,157
756,79,145
749,109,141
750,79,144
760,80,82
736,81,65
757,73,189
752,65,170
731,73,127
754,80,111
748,68,54
757,91,161
745,83,78
759,75,153
746,93,164
741,88,85
731,70,176
734,82,78
733,69,157
744,70,171
738,63,139
739,97,131
734,63,146
743,77,171
760,85,154
732,63,152
743,67,128
746,96,86
751,83,77
735,91,59
732,106,77
760,64,169
753,66,161
748,64,163
733,74,87
743,73,117
745,68,71
740,76,155
755,70,106
747,68,53
732,83,174
737,70,76
752,72,72
759,90,142
745,71,136
756,79,69
738,75,160
735,83,85
758,81,72
744,65,65
759,81,78
741,103,158
738,93,72
756,72,101
735,89,62
757,79,56
755,72,97
760,113,151
737,100,133
736,69,85
741,73,147
742,69,143
760,87,70
743,76,161
756,72,188
752,85,149
732,80,75
731,94,92
738,89,45
738,68,140
750,64,176
731,64,130
745,73,164
743,88,146
741,97,153
733,78,55
755,62,151
749,108,143
734,75,164
749,47,134
750,95,160
739,94,127
737,73,54
741,113,75
731,77,61
760,77,146
753,96,147
745,81,41
759,82,86
754,77,110
740,56,125
732,96,132
737,75,61
734,74,42
748,74,154
739,80,149
752,66,177
754,54,58
744,76,141
734,76,100
759,72,123
758,72,101
746,64,82
733,66,152
751,97,145
748,82,140
755,70,146
748,103,140
741,83,87
741,83,156
752,98,149
753,91,141
742,81,170
745,68,111
741,58,90
737,85,140
742,103,82
738,70,182
740,103,148
731,106,72
735,94,74
744,78,140
751,71,76
745,61,118
734,81,72
732,102,79
738,58,139
756,81,68
741,71,52
739,79,86
758,70,84
735,75,146
744,81,147
751,91,65
750,105,140
732,94,84
759,83,145
745,85,149
738,100,157
757,71,92
738,78,81
745,79,41
737,87,128
744,67,167
731,69,117
741,54,128
748,79,147
756,85,114
742,61,125
735,70,58
732,78,101
756,65,117
753,66,177
742,90,155
738,92,130
731,63,178
744,93,162
749,67,89
752,77,149
751,90,134
738,85,171
746,99,147
733,90,75
741,69,103
760,105,80
755,75,142
745,61,164
758,77,66
754,84,72
738,76,115
736,77,113
755,78,122
737,66,170
749,96,90
736,75,66
745,98,77
760,85,119
759,75,123
733,89,71
743,77,85
739,94,61
745,80,59
738,64,156
746,55,105
733,76,49
745,82,157
746,72,71
758,70,47
740,59,138
759,76,101
734,74,150
750,91,164
738,68,103
744,71,103
756,76,51
756,72,112
735,65,167
741,89,74
747,80,94
756,92,77
758,68,52
741,85,81
743,84,76
742,80,168
754,70,61
756,89,161
733,81,87
743,67,101
759,86,61
760,69,111
742,103,48
737,80,89
739,104,80
732,68,167
733,85,135
748,91,185
753,82,68
735,74,53
747,97,81
741,90,151
759,61,170
747,75,161
749,69,109
731,69,102
737,88,59
741,78,76
754,72,109
757,67,165
760,63,154
749,106,150
736,62,172
759,79,155
731,91,132
747,67,57
744,84,73
759,76,122
742,94,52
746,66,60
742,79,68
755,82,73
749,74,50
744,62,170
735,77,127
735,77,57
759,64,169
