z,x,y
88,94,162
120,81,51
633,99,94
722,96,174
215,80,76
234,82,178
155,71,64
704,89,70
241,91,136
144,109,81
726,69,180
74,91,108
385,96,45
514,71,139
630,61,164
623,78,92
276,105,154
713,77,58
93,107,130
209,85,149
61,88,170
754,69,159
88,73,134
156,122,84
737,98,165
736,83,153
232,89,161
610,115,46
787,74,91
570,101,28
581,68,143
737,66,129
250,71,54
566,93,34
615,78,178
520,97,177
132,82,59
666,67,73
387,77,94
77,100,147
123,82,146
318,84,61
600,85,35
712,95,161
156,123,66
0,0,0
294,65,161
348,98,36
132,89,92
586,85,146
665,79,65
596,77,42
638,62,167
498,118,175
557,79,58
166,86,64
0,0,0
728,89,67
706,92,130
189,109,149
74,105,73
246,91,71
183,98,154
633,87,181
697,67,118
579,69,44
148,88,167
120,98,138
788,69,157
87,123,142
527,90,136
310,117,149
759,88,54
697,70,55
604,73,155
272,86,175
485,82,158
669,90,77
617,94,53
94,97,152
372,109,186
0,0,0
418,106,179
752,91,57
217,75,111
456,115,62
774,79,154
76,91,157
520,96,48
557,85,37
698,86,61
772,88,151
777,59,62
128,106,156
114,100,75
218,117,71
105,86,52
702,85,159
259,76,175
675,67,143
488,108,49
678,77,62
275,87,63
170,114,77
263,58,86
0,0,0
304,65,139
635,65,62
254,60,77
314,80,63
746,97,57
127,79,58
626,91,181
0,0,0
328,117,72
247,63,58
600,116,40
140,105,149
671,68,150
235,93,42
564,69,81
217,103,66
183,64,137
534,68,87
235,114,66
747,77,115
298,96,80
171,114,91
267,67,148
271,83,172
77,120,158
259,98,72
83,95,88
72,77,168
169,92,43
398,117,49
138,85,171
764,96,63
730,73,34
72,121,73
300,119,169
196,84,153
244,120,77
326,112,150
504,108,81
318,83,52
391,97,184
48,59,78
184,93,153
650,88,27
0,0,0
258,116,51
564,69,65
233,84,173
158,107,77
548,91,103
580,112,183
504,89,172
106,94,172
401,102,34
244,81,160
76,100,151
196,102,130
188,74,154
781,103,55
157,98,59
470,97,197
684,71,169
311,97,58
123,80,171
379,96,40
222,94,144
597,71,47
689,113,164
719,75,149
166,97,63
614,87,45
787,69,62
708,76,92
214,112,146
719,108,154
711,75,56
67,103,67
445,77,66
121,83,64
642,76,156
220,81,152
702,64,70
174,123,141
241,73,53
621,74,138
703,108,64
258,53,85
256,102,88
310,73,59
601,98,186
303,114,154
75,88,73
288,112,70
565,80,170
155,75,72
756,78,73
0,0,0
428,95,46
645,119,34
44,103,151
300,80,72
743,68,166
97,88,175
339,101,192
148,60,60
494,117,173
601,79,39
238,98,157
201,100,64
619,91,101
740,82,140
435,80,130
0,0,0
127,101,72
787,82,146
734,69,53
130,104,82
580,80,134
529,80,182
545,116,178
393,72,91
518,109,36
318,65,159
110,72,118
61,82,141
605,76,179
226,68,151
701,97,59
90,70,61
554,102,40
695,62,146
394,64,135
306,89,96
338,91,32
231,88,75
756,78,167
731,84,173
0,0,0
187,120,168
378,73,101
375,91,64
70,63,137
258,105,91
270,81,64
593,92,198
601,104,59
105,65,75
580,72,105
93,61,75
77,98,73
447,77,76
202,89,69
380,86,171
677,85,190
703,110,67
368,70,181
22,104,150
124,109,147
218,109,159
87,84,63
562,84,175
751,70,91
498,69,146
694,85,156
282,85,179
665,77,48
431,82,132
606,122,193
94,101,97
217,105,172
535,88,126
741,75,190
120,82,169
112,58,138
70,75,74
715,88,157
77,111,88
457,86,158
562,89,193
356,103,151
659,68,55
407,102,138
704,114,160
0,0,0
667,90,186
557,72,86
263,78,180
614,80,67
693,74,53
196,69,78
110,99,152
95,112,76
360,100,65
0,0,0
725,89,61
468,85,180
111,98,152
611,97,192
557,105,166
647,83,69
250,60,91
337,59,155
581,73,82
401,80,155
287,77,151
170,60,156
158,63,60
541,80,33
337,65,84
431,104,182
697,79,161
696,112,48
730,86,35
415,98,193
61,118,155
377,103,187
214,128,152
427,83,187
336,69,152
643,96,170
85,96,159
135,60,148
623,96,48
659,86,153
367,113,67
639,69,158
129,73,69
503,96,40
705,119,188
788,85,74
696,59,53
650,70,179
460,66,76
615,105,192
265,82,53
144,66,135
346,71,38
561,83,58
208,116,67
168,99,164
166,85,65
189,114,67
515,73,141
164,117,163
98,104,148
298,118,76
442,112,40
240,62,134
724,108,31
198,123,154
593,74,177
177,104,149
244,85,152
299,100,94
198,121,79
774,108,76
477,81,79
73,101,153
700,82,60
338,109,164
698,66,115
95,67,140
786,95,76
366,101,33
122,66,157
264,62,56
0,0,0
239,91,61
139,83,56
100,99,155
666,82,112
669,52,151
652,70,166
488,82,123
789,67,168
331,73,95
312,71,86
645,96,154
751,83,171
310,86,161
135,105,80
601,70,165
207,55,150
531,78,90
629,122,189
273,84,147
329,115,53
500,66,139
81,124,141
321,111,64
723,96,60
293,82,66
261,74,164
140,116,153
742,70,169
0,0,0
592,83,188
625,109,32
504,92,35
419,87,47
299,64,78
478,49,84
625,74,83
223,108,76
574,61,47
106,110,153
344,102,191
244,88,155
72,116,75
152,60,77
777,86,166
0,0,0
213,113,131
659,76,182
200,87,146
534,105,94
757,66,81
502,78,92
153,81,59
738,65,168
308,109,46
437,74,164
228,83,151
583,90,186
190,122,150
123,93,138
