,z,x,y,population_key
0,430,123,171,V1_Cord1
1,430,108,150,V1_Cord1
2,430,118,64,V1_Cord1
3,430,114,174,V1_Cord1
4,430,116,177,V1_Cord1
5,430,113,181,V1_Cord1
6,430,117,56,V1_Cord1
7,430,100,156,V1_Cord1
8,430,116,54,V1_Cord1
9,430,99,133,V1_Cord1
10,430,112,52,V1_Cord1
11,430,111,52,V1_Cord1
12,430,99,171,V1_Cord1
13,430,97,76,V1_Cord1
14,430,94,166,V1_Cord1
15,430,92,158,V1_Cord1
16,430,96,193,V1_Cord1
17,430,93,170,V1_Cord1
18,430,87,192,V1_Cord1
19,430,87,170,V1_Cord1
20,430,86,192,V1_Cord1
21,430,86,191,V1_Cord1
22,430,88,91,V1_Cord1
23,430,79,161,V1_Cord1
24,430,92,58,V1_Cord1
25,430,100,34,V1_Cord1
26,430,90,59,V1_Cord1
27,430,94,50,V1_Cord1
28,430,87,63,V1_Cord1
29,430,76,156,V1_Cord1
30,430,90,57,V1_Cord1
31,430,83,88,V1_Cord1
32,430,91,34,V1_Cord1
33,430,77,128,V1_Cord1
34,430,71,156,V1_Cord1
35,430,70,149,V1_Cord1
36,430,78,91,V1_Cord1
37,430,80,66,V1_Cord1
38,430,77,85,V1_Cord1
39,430,79,101,V1_Cord1
40,430,78,117,V1_Cord1
41,430,76,112,V1_Cord1
42,430,74,81,V1_Cord1
43,430,77,110,V1_Cord1
44,430,65,150,V1_Cord1
45,430,61,160,V1_Cord1
46,430,68,80,V1_Cord1
47,430,77,55,V1_Cord1
48,430,71,66,V1_Cord1
49,430,61,70,V1_Cord1
50,434,112,70,V1_Cord1
51,434,120,149,V1_Cord1
52,434,119,149,V1_Cord1
53,434,112,62,V1_Cord1
54,434,104,84,V1_Cord1
55,434,120,166,V1_Cord1
56,434,110,54,V1_Cord1
57,434,112,50,V1_Cord1
58,434,101,74,V1_Cord1
59,434,112,48,V1_Cord1
60,434,104,58,V1_Cord1
61,434,117,179,V1_Cord1
62,434,102,54,V1_Cord1
63,434,118,184,V1_Cord1
64,434,107,40,V1_Cord1
65,434,102,51,V1_Cord1
66,434,111,173,V1_Cord1
67,434,114,184,V1_Cord1
68,434,92,64,V1_Cord1
69,434,106,170,V1_Cord1
70,434,103,176,V1_Cord1
71,434,103,189,V1_Cord1
72,434,90,53,V1_Cord1
73,434,95,176,V1_Cord1
74,434,97,193,V1_Cord1
75,434,81,64,V1_Cord1
76,434,91,170,V1_Cord1
77,434,89,169,V1_Cord1
78,434,90,176,V1_Cord1
79,434,88,166,V1_Cord1
80,434,87,176,V1_Cord1
81,434,83,180,V1_Cord1
82,434,73,51,V1_Cord1
83,434,79,154,V1_Cord1
84,434,74,95,V1_Cord1
85,434,68,86,V1_Cord1
86,434,76,172,V1_Cord1
87,434,67,159,V1_Cord1
88,434,67,151,V1_Cord1
