z,x,y
72,66,87
608,105,48
700,74,81
787,56,139
108,78,150
133,81,76
225,63,126
170,80,148
436,97,58
460,109,183
177,93,86
185,83,138
311,96,81
93,75,78
453,87,133
659,79,86
5,82,56
767,82,121
284,106,145
476,110,73
340,88,142
702,87,103
768,84,130
101,86,71
655,108,149
583,47,152
432,91,153
461,81,107
307,71,142
372,102,179
556,79,59
663,73,82
759,72,92
720,86,152
334,94,126
375,71,79
503,51,151
193,80,134
122,83,131
351,97,167
634,86,47
156,97,103
660,84,131
264,62,97
694,101,150
369,95,88
194,66,143
467,116,34
230,76,134
423,90,99
615,92,56
721,72,126
542,83,65
598,79,82
788,80,142
606,102,172
478,116,165
600,81,145
675,83,127
353,74,78
727,44,152
104,77,80
443,82,93
731,79,127
545,92,59
342,80,166
31,59,154
610,92,65
0,70,71
291,65,139
330,95,149
210,58,149
584,97,57
298,54,81
443,99,47
143,70,149
0,0,0
519,32,48
538,87,56
82,65,88
519,92,53
765,74,92
366,107,141
674,81,158
677,82,74
484,107,174
459,103,33
648,90,58
149,95,124
238,97,80
765,82,137
305,98,132
0,0,0
74,41,164
767,85,82
596,117,165
70,101,83
112,117,86
654,92,149
547,77,156
8,63,159
87,90,87
441,100,59
337,62,76
350,87,64
253,79,143
608,30,52
499,104,34
599,79,78
781,82,131
310,58,77
254,65,140
456,103,158
237,80,98
92,76,148
115,59,139
289,62,108
780,55,62
686,84,83
698,98,141
244,107,130
406,87,143
683,77,84
319,107,74
606,91,79
445,101,39
710,84,136
59,83,123
704,70,135
274,80,97
756,83,86
175,118,144
95,32,170
585,75,51
385,104,47
19,75,102
779,69,87
306,69,86
742,80,143
462,83,109
468,109,168
460,119,182
496,83,43
97,78,49
650,76,83
674,82,91
549,94,140
559,99,142
697,72,81
637,91,151
330,118,79
399,68,115
292,73,156
422,78,176
175,46,71
252,70,72
480,85,96
600,113,157
382,96,79
404,110,54
448,96,103
668,87,76
328,57,124
186,119,135
438,82,69
72,70,88
677,69,119
725,64,71
270,64,151
787,98,163
664,82,90
575,77,63
90,117,135
480,79,155
687,81,123
586,95,75
274,65,150
737,73,133
760,86,63
64,32,156
406,96,93
560,90,74
207,103,59
476,102,155
469,88,46
779,53,76
61,59,89
727,74,88
93,43,174
680,80,125
145,70,140
88,51,62
257,78,69
684,78,146
112,73,83
262,102,53
358,99,158
642,71,138
467,116,41
487,62,157
718,78,165
688,80,135
147,39,159
637,107,155
689,85,69
166,84,143
529,89,149
141,71,77
94,79,126
467,90,51
23,98,77
700,82,138
719,82,127
309,70,177
663,81,146
716,24,90
586,83,107
775,81,86
377,71,154
139,95,141
343,88,47
381,86,188
750,65,54
314,61,85
786,73,92
330,83,125
0,0,0
67,68,112
294,91,148
641,79,171
155,66,154
617,100,55
679,86,67
379,98,70
240,89,139
173,84,125
435,98,133
199,80,146
129,63,80
255,87,141
650,85,100
101,60,80
609,89,158
773,108,63
600,78,129
118,64,79
532,84,96
271,88,117
116,55,145
505,98,168
237,75,72
784,74,128
771,111,60
26,89,125
721,88,126
708,82,171
613,81,155
292,120,81
287,55,77
305,22,52
783,64,135
141,118,135
315,81,86
397,85,179
98,63,113
608,99,61
133,99,140
0,0,0
543,94,141
647,78,134
40,87,103
273,43,75
150,90,67
637,81,145
315,104,136
579,102,60
0,0,0
117,70,149
290,69,104
653,99,62
345,111,164
313,80,94
456,100,167
273,87,84
495,100,157
706,78,140
782,66,78
424,82,148
666,48,158
70,86,151
671,72,116
703,71,137
605,73,84
