780,84,171
770,107,72
788,102,167
784,66,160
788,91,82
775,77,47
788,85,104
765,89,103
768,68,90
785,93,155
772,102,157
780,83,73
770,71,57
763,76,173
787,83,157
765,101,179
772,74,42
787,78,179
777,75,74
785,75,159
762,81,68
783,90,74
778,84,165
768,75,130
761,67,51
788,66,58
787,85,81
770,72,163
762,83,103
786,65,67
788,82,169
789,82,86
774,69,159
761,73,141
784,64,126
779,109,151
775,69,51
764,93,73
781,94,81
761,91,94
761,70,74
781,90,139
789,74,73
781,61,61
768,91,149
763,93,77
775,67,173
789,80,155
788,93,83
780,79,147
779,64,59
783,92,102
770,70,166
768,80,66
787,91,71
788,75,83
789,83,81
769,68,75
763,99,151
762,75,61
761,69,150
783,76,130
778,101,155
771,89,70
765,72,59
787,77,163
781,100,62
771,60,69
770,86,67
782,73,50
768,78,79
788,80,168
767,81,55
788,56,61
765,100,87
779,67,153
774,97,76
784,110,159
761,86,149
778,75,169
775,75,69
778,103,55
771,67,167
767,72,149
769,82,163
785,83,163
770,109,154
773,73,54
783,63,70
777,67,149
785,80,174
772,89,153
778,94,75
776,98,147
769,102,65
764,74,123
783,73,156
769,65,166
769,72,169
785,99,50
762,72,96
764,71,162
781,95,172
777,87,146
783,79,95
764,89,181
789,75,71
783,65,64
789,68,125
786,63,53
789,102,72
774,105,69
772,63,168
767,61,90
775,72,61
781,97,166
786,95,74
780,87,106
789,102,72
764,80,63
788,83,60
777,83,160
785,99,147
769,72,168
769,79,169
786,68,78
778,77,161
778,65,166
789,87,150
767,86,186
777,71,82
778,65,173
766,78,43
782,76,64
788,53,65
789,82,165
788,71,153
787,69,66
780,112,143
770,71,140
762,96,82
784,100,60
766,68,158
789,88,73
767,74,64
766,61,61
770,57,141
774,72,146
776,86,66
786,84,41
777,76,76
771,83,98
782,70,54
769,75,76
766,62,56
762,68,61
786,72,89
772,61,65
788,71,75
775,90,151
788,69,140
789,82,68
789,80,163
782,89,160
785,92,87
789,61,170
777,88,163
773,72,160
782,106,72
769,67,73
786,94,95
785,74,61
775,109,78
765,76,59
778,77,48
777,105,67
767,93,64
770,87,156
763,67,64
761,86,70
764,95,183
787,87,96
773,70,57
761,65,82
789,67,73
783,80,57
777,73,155
777,86,159
765,67,49
775,73,163
775,98,147
772,86,149
772,98,149
787,94,86
769,72,160
788,77,83
774,71,53
788,89,146
787,68,128
783,69,171
788,104,70
769,95,84
767,99,39
767,76,48
774,78,75
788,99,150
789,65,151
766,105,49
778,63,165
774,74,89
764,91,64
771,86,65
761,83,169
773,109,75
789,108,72
778,74,55
786,74,63
777,90,101
782,90,70
784,89,70
782,96,60
774,66,153
775,76,104
769,92,74
788,73,135
788,72,136
774,77,132
789,82,67
785,103,59
766,75,52
766,72,166
766,76,54
769,77,58
766,88,75
764,68,98
787,85,144
778,74,147
765,84,165
776,87,63
763,85,60
784,104,50
774,72,53
765,99,170
779,82,76
780,61,63
761,74,79
784,61,74
787,101,138
774,69,87
784,75,166
778,107,138
772,61,167
765,58,143
775,111,78
788,79,86
776,95,155
772,103,153
787,99,66
769,69,136
770,99,148
776,84,134
762,73,47
777,109,70
768,83,64
781,81,151
774,88,46
776,93,61
779,86,91
762,89,83
775,69,57
776,97,87
788,61,164
773,64,166
775,87,167
773,95,63
787,97,80
779,86,166
770,101,152
789,101,173
778,81,166
771,85,75
782,74,82
774,58,160
785,72,63
787,81,83
785,101,86
770,82,57
762,83,156
761,94,166
787,79,74
789,94,93
779,87,166
775,82,167
762,113,153
788,85,151
778,71,64
789,90,168
770,90,82
786,68,150
769,79,148
774,89,93
777,90,161
780,83,88
787,89,157
770,62,80
772,90,164
761,67,165
772,77,62
789,74,102
762,98,154
767,70,135
782,62,53
789,65,57
788,88,174
762,68,150
773,75,130
786,76,171
772,81,147
765,79,91
761,107,73
785,67,52
773,79,174
777,105,160
773,73,144
770,63,166
776,82,149
789,95,165
764,84,146
774,101,65
777,77,71
773,80,174
781,76,63
785,102,71
789,70,108
762,103,154
781,71,133
767,98,149
785,103,75
777,104,152
789,97,151
782,106,72
778,81,87
784,72,81
768,72,154
762,71,78
774,102,147
767,80,61
783,73,165
789,63,126
778,66,55
773,91,41
779,89,149
774,65,169
782,69,58
783,106,168
774,109,71
780,73,176
789,93,157
781,76,143
774,65,145
766,81,175
763,105,173
761,112,71
761,84,144
763,62,138
779,71,60
773,65,141
782,74,157
783,83,89
788,64,137
770,80,71
770,68,90
768,72,47
780,101,77
767,59,56
775,70,49
781,80,161
782,70,161
770,80,147
789,75,73
789,80,78
764,66,72
771,76,166
781,68,154
789,65,75
768,95,152
767,93,149
769,90,143
788,86,103
765,105,67
787,61,62
768,88,76
770,87,54
782,104,70
767,93,63
769,105,54
768,87,76
783,69,70
783,75,92
771,69,167
777,73,167
763,105,143
785,67,164
767,96,158
767,103,152
770,109,46
761,76,70
787,69,74
771,85,57
781,100,149
784,89,153
780,64,91
770,81,126
778,110,158
776,64,166
789,92,74
768,97,86
782,78,77
766,76,153
782,82,169
771,78,184
769,91,77
788,80,169
773,77,172
788,67,156
778,68,133
764,98,153
786,85,73
774,98,59
774,62,98
777,65,162
788,83,74
778,86,159
769,90,144
787,61,67
771,75,78
784,72,62
784,107,79
782,108,51
775,57,61
775,67,78
774,78,163
782,84,69
771,104,166
789,74,73
780,65,152
788,84,54
774,93,144
771,81,51
781,110,162
770,59,165
789,59,69
782,106,68
782,89,95
774,71,170
779,75,145
784,80,154
789,100,159
771,93,80
787,98,76
782,103,77
769,79,55
782,65,57
768,77,140
779,63,131
768,68,137
780,74,52
787,63,57
778,88,62
774,112,68
774,77,138
761,73,151
765,104,71
780,89,77
777,71,57
764,67,131
785,69,71
771,108,162
789,74,165
780,77,138
762,86,120
782,68,74
761,82,64
782,75,107
788,95,52
786,80,159
784,98,71
780,91,78
782,98,152
768,72,179
768,68,68
782,95,40
766,96,78
775,105,75
783,74,156
764,106,67
774,61,130
763,55,125
763,77,148
788,96,146
780,100,61
777,71,157
769,87,156
775,84,162
774,86,169
782,97,75
786,73,133
776,72,163
786,83,140
764,74,56
786,85,137
766,60,123
781,109,65
768,83,158
764,61,163
768,92,149
782,84,59
789,54,75
769,92,75
776,76,150
788,74,158
773,96,151
764,112,160
788,70,94
787,91,89
772,86,69
776,95,163
770,81,45
771,90,62
762,102,165
787,96,149
771,101,147
776,70,60
768,91,129
786,90,41
